id,clap_embedding,clap_status,clap_error
a0138d66-90cf-4e16-81cc-df1f26207b1e,,failed,[Errno 2] No such file or directory: 'ffmpeg'
c2bd4488-4d6e-47f9-903b-be79c7808ded,,failed,[Errno 2] No such file or directory: 'ffmpeg'
fc927468-3d34-4483-ab1b-0e4a1f6ea0ee,,failed,[Errno 2] No such file or directory: 'ffmpeg'
8496d1e1-9c4e-442e-9139-97ac11afb765,,failed,[Errno 2] No such file or directory: 'ffmpeg'
6ac24838-c9d5-473f-a84e-5d888dc07815,,failed,[Errno 2] No such file or directory: 'ffmpeg'
9cfa502b-69b1-4a56-bc77-222e70e46a35,,failed,[Errno 2] No such file or directory: 'ffmpeg'
2fef0048-8c80-4d54-9d29-fd69417a0398,,failed,[Errno 2] No such file or directory: 'ffmpeg'
9136d3bb-c25a-473d-aaa5-6b304bda2b89,,failed,[Errno 2] No such file or directory: 'ffmpeg'
102e1aed-c52b-4cc1-aca4-89d2b7bd7e7f,,failed,[Errno 2] No such file or directory: 'ffmpeg'
4cbf703e-eea0-45c4-834f-dab7ba113142,,failed,[Errno 2] No such file or directory: 'ffmpeg'
f88d7de5-d8ff-4e2b-a726-dae097a037f4,,failed,[Errno 2] No such file or directory: 'ffmpeg'
50414907-f61c-42dc-b3e4-6044794a9985,,failed,[Errno 2] No such file or directory: 'ffmpeg'
879d1f73-6133-4e73-a4e1-86abe306bf9a,,failed,[Errno 2] No such file or directory: 'ffmpeg'
54a71a41-5c75-4a69-8581-7ead5cc6c4fa,,failed,[Errno 2] No such file or directory: 'ffmpeg'
7edcd001-c73c-4fc8-9cda-ec0715182e1a,,failed,[Errno 2] No such file or directory: 'ffmpeg'
b2b94096-a1a4-4f56-acfd-c25ecfa2980e,,failed,[Errno 2] No such file or directory: 'ffmpeg'
a2a44120-84ba-435b-b0e5-83d99e342500,,failed,[Errno 2] No such file or directory: 'ffmpeg'
a0dd6fbc-e38e-44d4-b732-bb7d5776fb42,,failed,[Errno 2] No such file or directory: 'ffmpeg'
ed50d2be-5a75-43e6-91ed-0919049aa5d3,,failed,[Errno 2] No such file or directory: 'ffmpeg'
6b585123-85ec-4198-aede-7de13bb29de8,,failed,[Errno 2] No such file or directory: 'ffmpeg'
4d77b8d6-65fa-42da-a63f-a4868cbabd80,,failed,[Errno 2] No such file or directory: 'ffmpeg'
43a07889-33fb-4118-b7dd-1af60b242c37,,failed,[Errno 2] No such file or directory: 'ffmpeg'
ae904463-f16a-4f1d-b855-1038d4b85836,,failed,[Errno 2] No such file or directory: 'ffmpeg'
9b164cbb-c816-4d56-8cda-318a05426f35,,failed,[Errno 2] No such file or directory: 'ffmpeg'
8be4c01c-4f86-41e5-94ad-bdedbe9af647,,failed,[Errno 2] No such file or directory: 'ffmpeg'
